,Nombre,Distancia,Posicion
0,Restaurant Tritón,0.5523056007415963,"[41.3867537, 2.1125587]"
1,Santa Clara Restaurant,0.8307989557691708,"[41.389526, 2.1215645]"
2,De Angelis,0.9312400465992801,"[41.3758353, 2.1191858]"
3,Futballárium Barcelona,1.176793346975572,"[41.3777839, 2.125367599999999]"
4,Punta Anguila,1.6392486672820101,"[41.3821582, 2.1313569]"
5,Restaurant Green's,1.77274009578854,"[41.3908175, 2.1310738]"
6,Gaig Barcelona,1.9283105554288593,"[41.3914433, 2.132333999999999]"
7,Shalimar Braseria (Bar y Restaurante),1.9353765271071617,"[41.3724499, 2.1033573]"
8,Lagman Restaurant,2.0819325599233633,"[41.3876193, 2.1350793]"
9,Kyoka,2.2679166902594043,"[41.3979737, 2.1315122]"
10,La Tarántula | Cocina Mexicana,2.35421381963604,"[41.378042699999995, 2.1371107]"
11,Nuba,2.3574148100791175,"[41.3936558, 2.1355660999999992]"
12,Cocina Hermanos Torres,2.614170675718652,"[41.386492499999996, 2.140124799999999]"
13,Muxia 2 Bar-Restaurant,2.634076924842839,"[41.361140899999995, 2.123793999999999]"
14,Medio o Pinto Restaurante,3.188107350799227,"[41.3947042, 2.1433453]"
15,Restaurant La Pepa,3.2196583680245263,"[41.356697, 2.127118599999999]"
16,Maxi,3.2325195592596603,"[41.3605831, 2.134316499999999]"
17,Hu Nan,3.270458994127458,"[41.394393099999995, 2.144268]"
18,RESTAURANT FLEXO,3.286678051412617,"[41.3833793, 2.0869101]"
19,Spice BCN Amigo,3.3083003857841864,"[41.395379299999995, 2.1442429]"
20,Can Martí Restaurant,3.3352168081019453,"[41.413742899999995, 2.112530699999999]"
21,Can Martí Restaurant,3.3352168081019453,"[41.413742899999995, 2.112530699999999]"
22,Nectari,3.347962428213677,"[41.380001, 2.146661099999999]"
23,RESTAURANT PIZZERIA VERONA,3.3826447907911437,"[41.405752, 2.137998]"
24,Bar Restaurante Salus,3.442482448539045,"[41.359696199999995, 2.1362607]"
25,Marinar Bcn,3.4911707585539546,"[41.3977449, 2.1449862]"
26,Restaurante Casa Trampa,3.5099554271379567,"[41.4132059, 2.104528799999999]"
27,Anormal Food | Cocina Latinoamericana | Delivery & Para llevar,3.518878662441289,"[41.4052546, 2.1401889]"
28,Restaurant Arcasa Cosmocaixa,3.592174613183347,"[41.4130535, 2.130881999999999]"
29,Restaurant Arcasa Cosmocaixa,3.592174613183347,"[41.4130535, 2.130881999999999]"
30,Filigrana,3.593057968405777,"[41.3758792, 2.1481293]"
31,laLola,3.6731631881448603,"[41.3761742, 2.1489477]"
32,Àbac,3.678672881191564,"[41.410640699999995, 2.1363686]"
33,Àbac,3.678672881191564,"[41.410640699999995, 2.1363686]"
34,La Tagliatella,3.7123701508864038,"[41.4104093, 2.1371805]"
35,Watatsumi,3.7286814275189943,"[41.3759306, 2.149405599999999]"
36,"Restaurante La Tagliatella | CC. Las Arenas, Barcelona",3.750110467783791,"[41.3764155, 2.1497178]"
37,Restaurante Fastuc,3.794980796068017,"[41.3985005, 2.1476714]"
38,Asador de Aranda,3.810297199728229,"[41.4133174, 2.1345102]"
39,Restaurant O Retorniño,3.815888494827365,"[41.3885612, 2.1508181]"
40,Gusto Restaurant,3.8207537605266566,"[41.388324399999995, 2.150894199999999]"
41,La Vermuterie,3.924734599785818,"[41.3936037, 2.1507606]"
42,Antigua,3.9329865214680315,"[41.397974399999995, 2.1492785]"
